CPUS_PER_TASK=36
(0, 0.0001)
(1, 0.0001045454218332775)
(2, 0.00010929745226297926)
(3, 0.00011426548252135678)
(4, 0.0001194593307117823)
(5, 0.00012488926121184284)
(6, 0.0001305660049583849)
(7, 0.00013650078065460138)
(8, 0.00014270531694106988)
(9, 0.00014919187557455696)
(10, 0.00015597327566039908)
(11, 0.00016306291898634482)
(12, 0.00017047481650792973)
(13, 0.00017822361603772095)
(14, 0.00018632463119315598)
(15, 0.00019479387166018348)
(16, 0.0002036480748325118)
(17, 0.00021290473888899812)
(18, 0.00022258215737454087)
(19, 0.00023269945535282335)
(20, 0.00024327662720234841)
(21, 0.00025433457613046484)
(22, 0.00026589515548347276)
(23, 0.0002779812119344457)
(24, 0.0002906166306341231)
(25, 0.000303826382414102)
(26, 0.00031763657313560944)
(27, 0.0003320744952813899)
(28, 0.00034716868189265597)
(29, 0.00036294896295770645)
(30, 0.0003794465243636403)
(31, 0.0003966939695276775)
(32, 0.00041472538382988374)
(33, 0.00043357640197463074)
(34, 0.00045328427841392465)
(35, 0.0004738879609717651)
(36, 0.0004954281678150493)
(37, 0.0005179474679231213)
(38, 0.0005414903652150063)
(39, 0.0005661033865005833)
(40, 0.0005918351734295041)
(41, 0.0006187365786195839)
(42, 0.0006468607661546321)
(43, 0.0006762633166503308)
(44, 0.0007070023370958016)
(45, 0.0007391385756879357)
(46, 0.0007727355418854315)
(47, 0.0008078596319197871)
(48, 0.0008445802600113034)
(49, 0.0008829699955494092)
(50, 0.0009231047065084005)
(51, 0.0009650637093820456)
(52, 0.001008929925933334)
(53, 0.001054790047069178)
(54, 0.0011027347041638986)
(55, 0.0011528586481700915)
(56, 0.0012052609368708425)
(57, 0.001260045130643335)
(58, 0.0013173194971207458)
(59, 0.0013771972251568922)
(60, 0.0014397966485164655)
(61, 0.0015052414797329307)
(62, 0.001573661054596259)
(63, 0.0016451905877536625)
(64, 0.001719971439928444)
(65, 0.001798151397285087)
(66, 0.001879884963492666)
(67, 0.0019653336650637646)
(68, 0.002054666370572324)
(69, 0.0021480596243813265)
(70, 0.002245697995539774)
(71, 0.002347774442538514)
(72, 0.0024544906946457664)
(73, 0.00256605765057596)
(74, 0.002682695795279727)
(75, 0.0028046356356787867)
(76, 0.002932118156206809)
(77, 0.003065395295056527)
(78, 0.0032047304420742876)
(79, 0.0033503989592860196)
(80, 0.0035026887250833084)
(81, 0.0036619007031449945)
(82, 0.0038283495372186858)
(83, 0.004002364172937598)
(84, 0.004184288507901581)
(85, 0.00437448207130706)
(86, 0.004573320734469056)
(87, 0.00478119745363942)
(88, 0.0049985230465892545)
(89, 0.005225727004490325)
(90, 0.005463258340699902)
(91, 0.0057115864781264345)
(92, 0.005971202176929713)
(93, 0.006242618504389012)
(94, 0.006526371848855732)
(95, 0.006823022979794497)
(96, 0.00713315815600761)
(97, 0.007457390284232995)
(98, 0.0077963601304052365)
(99, 0.008150737585973612)
(100, 0.008521222991779603)
(101, 0.008908548522110215)
(102, 0.009313479631662333)
(103, 0.009736816568277757)
(104, 0.010179395954438435)
(105, 0.010642092440647247)
(106, 0.01112582043396199)
(107, 0.011631535905098548)
(108, 0.012160238277674398)
(109, 0.012712972403326377)
(110, 0.013290830626605705)
(111, 0.013894954943731374)
(112, 0.014526539259467812)
(113, 0.015186831746587274)
(114, 0.015877137312579774)
(115, 0.016598820178485206)
(116, 0.017353306574944546)
(117, 0.018142087560797653)
(118, 0.018966721969798452)
(119, 0.019828839491270712)
(120, 0.020730143890792464)
(121, 0.02167241637727439)
(122, 0.022657519123085803)
(123, 0.023687398944185572)
(124, 0.02476409114753013)
(125, 0.02588972355336268)
(126, 0.027066520700332414)
(127, 0.02829680824175387)
(128, 0.029583017541695216)
(129, 0.030927690479977746)
(130, 0.03233348447558311)
(131, 0.033803177738395654)
(132, 0.03533967475965826)
(133, 0.03694601205199302)
(134, 0.038625364150329654)
(135, 0.040381049885601636)
(136, 0.04221653894360845)
(137, 0.04413545872200529)
(138, 0.0461416014989725)
